section,method,url,doc,doc_url
Meeting Invitees,GET,https://webexapis.com/v1/meetingInvitees/{meetingInviteeId},Get a Meeting Invitee,https://developer.webex.com/docs/api/v1/meeting-invitees/get-a-meeting-invitee
Meeting Invitees,PUT,https://webexapis.com/v1/meetingInvitees/{meetingInviteeId},Update a Meeting Invitee,https://developer.webex.com/docs/api/v1/meeting-invitees/update-a-meeting-invitee
Meeting Invitees,DELETE,https://webexapis.com/v1/meetingInvitees/{meetingInviteeId},Delete a Meeting Invitee,https://developer.webex.com/docs/api/v1/meeting-invitees/delete-a-meeting-invitee
Meeting Messages,DELETE,https://webexapis.com/v1/meeting/messages/{meetingMessageId},Delete a Meeting Message,https://developer.webex.com/docs/api/v1/meeting-messages/delete-a-meeting-message
Meeting Participants,GET,https://webexapis.com/v1/meetingParticipants,List Meeting Participants,https://developer.webex.com/docs/api/v1/meeting-participants/list-meeting-participants
Meeting Participants,POST,https://webexapis.com/v1/meetingParticipants/query,Query Meeting Participants with Email,https://developer.webex.com/docs/api/v1/meeting-participants/query-meeting-participants-with-email
Meeting Participants,GET,https://webexapis.com/v1/meetingParticipants/{participantId},Get Meeting Participant Details,https://developer.webex.com/docs/api/v1/meeting-participants/get-meeting-participant-details
Meeting Participants,PUT,https://webexapis.com/v1/meetingParticipants/{participantId},Update a Participant,https://developer.webex.com/docs/api/v1/meeting-participants/update-a-participant
Meeting Participants,POST,https://webexapis.com/v1/meetingParticipants/admit,Admit Participants,https://developer.webex.com/docs/api/v1/meeting-participants/admit-participants
Meeting Polls,GET,https://webexapis.com/v1/meetings/polls,List Meeting Polls,https://developer.webex.com/docs/api/v1/meeting-polls/list-meeting-polls
Meeting Polls,GET,https://webexapis.com/v1/meetings/pollResults,Get Meeting PollResults,https://developer.webex.com/docs/api/v1/meeting-polls/get-meeting-pollresults
Meeting Polls,GET,https://webexapis.com/v1/meetings/polls/{pollId}/questions/{questionId}/respondents,List Respondents of a Question,https://developer.webex.com/docs/api/v1/meeting-polls/list-respondents-of-a-question
Meeting Preferences,GET,https://webexapis.com/v1/meetingPreferences,Get Meeting Preference Details,https://developer.webex.com/docs/api/v1/meeting-preferences/get-meeting-preference-details
Meeting Preferences,GET,https://webexapis.com/v1/meetingPreferences/personalMeetingRoom,Get Personal Meeting Room Options,https://developer.webex.com/docs/api/v1/meeting-preferences/get-personal-meeting-room-options
Meeting Preferences,PUT,https://webexapis.com/v1/meetingPreferences/personalMeetingRoom,Update Personal Meeting Room Options,https://developer.webex.com/docs/api/v1/meeting-preferences/update-personal-meeting-room-options
Meeting Preferences,GET,https://webexapis.com/v1/meetingPreferences/audio,Get Audio Options,https://developer.webex.com/docs/api/v1/meeting-preferences/get-audio-options
Meeting Preferences,PUT,https://webexapis.com/v1/meetingPreferences/audio,Update Audio Options,https://developer.webex.com/docs/api/v1/meeting-preferences/update-audio-options
Meeting Preferences,GET,https://webexapis.com/v1/meetingPreferences/video,Get Video Options,https://developer.webex.com/docs/api/v1/meeting-preferences/get-video-options
Meeting Preferences,PUT,https://webexapis.com/v1/meetingPreferences/video,Update Video Options,https://developer.webex.com/docs/api/v1/meeting-preferences/update-video-options
Meeting Preferences,GET,https://webexapis.com/v1/meetingPreferences/schedulingOptions,Get Scheduling Options,https://developer.webex.com/docs/api/v1/meeting-preferences/get-scheduling-options
Meeting Preferences,PUT,https://webexapis.com/v1/meetingPreferences/schedulingOptions,Update Scheduling Options,https://developer.webex.com/docs/api/v1/meeting-preferences/update-scheduling-options
Meeting Preferences,GET,https://webexapis.com/v1/meetingPreferences/sites,Get Site List,https://developer.webex.com/docs/api/v1/meeting-preferences/get-site-list
Meeting Preferences,PUT,https://webexapis.com/v1/meetingPreferences/sites,Update Default Site,https://developer.webex.com/docs/api/v1/meeting-preferences/update-default-site
Meeting Q and A,GET,https://webexapis.com/v1/meetings/q_and_a,List Meeting Q and A,https://developer.webex.com/docs/api/v1/meeting-q-and-a/list-meeting-q-and-a
Meeting Q and A,GET,https://webexapis.com/v1/meetings/q_and_a/{questionId}/answers,List Answers of a Question,https://developer.webex.com/docs/api/v1/meeting-q-and-a/list-answers-of-a-question
Meeting Qualities,GET,https://analytics.webexapis.com/v1/meeting/qualities,Get Meeting Qualities,https://developer.webex.com/docs/api/v1/meeting-qualities/get-meeting-qualities
Meeting Transcripts,GET,https://webexapis.com/v1/meetingTranscripts,List Meeting Transcripts,https://developer.webex.com/docs/api/v1/meeting-transcripts/list-meeting-transcripts
Meeting Transcripts,GET,https://webexapis.com/v1/admin/meetingTranscripts,List Meeting Transcripts For Compliance Officer,https://developer.webex.com/docs/api/v1/meeting-transcripts/list-meeting-transcripts-for-compliance-officer
Meeting Transcripts,GET,https://webexapis.com/v1/meetingTranscripts/{transcriptId}/download,Download a Meeting Transcript,https://developer.webex.com/docs/api/v1/meeting-transcripts/download-a-meeting-transcript
Meeting Transcripts,GET,https://webexapis.com/v1/meetingTranscripts/{transcriptId}/snippets,List Snippets of a Meeting Transcript,https://developer.webex.com/docs/api/v1/meeting-transcripts/list-snippets-of-a-meeting-transcript
Meeting Transcripts,GET,https://webexapis.com/v1/meetingTranscripts/{transcriptId}/snippets/{snippetId},Get a Transcript Snippet,https://developer.webex.com/docs/api/v1/meeting-transcripts/get-a-transcript-snippet
Meeting Transcripts,PUT,https://webexapis.com/v1/meetingTranscripts/{transcriptId}/snippets/{snippetId},Update a Transcript Snippet,https://developer.webex.com/docs/api/v1/meeting-transcripts/update-a-transcript-snippet
Meeting Transcripts,DELETE,https://webexapis.com/v1/meetingTranscripts/{transcriptId},Delete a Transcript,https://developer.webex.com/docs/api/v1/meeting-transcripts/delete-a-transcript
Meetings,POST,https://webexapis.com/v1/meetings,Create a Meeting,https://developer.webex.com/docs/api/v1/meetings/create-a-meeting
Meetings,GET,https://webexapis.com/v1/meetings/{meetingId},Get a Meeting,https://developer.webex.com/docs/api/v1/meetings/get-a-meeting
Meetings,GET,https://webexapis.com/v1/meetings,List Meetings,https://developer.webex.com/docs/api/v1/meetings/list-meetings
Meetings,GET,https://webexapis.com/v1/meetings,List Meetings of a Meeting Series,https://developer.webex.com/docs/api/v1/meetings/list-meetings-of-a-meeting-series
Meetings,PATCH,https://webexapis.com/v1/meetings/{meetingId},Patch a Meeting,https://developer.webex.com/docs/api/v1/meetings/patch-a-meeting
Meetings,PUT,https://webexapis.com/v1/meetings/{meetingId},Update a Meeting,https://developer.webex.com/docs/api/v1/meetings/update-a-meeting
Meetings,DELETE,https://webexapis.com/v1/meetings/{meetingId},Delete a Meeting,https://developer.webex.com/docs/api/v1/meetings/delete-a-meeting
Meetings,POST,https://webexapis.com/v1/meetings/join,Join a Meeting,https://developer.webex.com/docs/api/v1/meetings/join-a-meeting
Meetings,GET,https://webexapis.com/v1/meetings/templates,List Meeting Templates,https://developer.webex.com/docs/api/v1/meetings/list-meeting-templates
Meetings,GET,https://webexapis.com/v1/meetings/templates/{templateId},Get a Meeting Template,https://developer.webex.com/docs/api/v1/meetings/get-a-meeting-template
Meetings,GET,https://webexapis.com/v1/meetings/controls,Get Meeting Control Status,https://developer.webex.com/docs/api/v1/meetings/get-meeting-control-status
Meetings,PUT,https://webexapis.com/v1/meetings/controls,Update Meeting Control Status,https://developer.webex.com/docs/api/v1/meetings/update-meeting-control-status
